Model;Dataset;Batch size;Mode;Parameters;Infrastucture;Average time of single pass (s);Latency;FPS
alexnet;ImageNet;3;Sync;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.10287714726997144;0.1093447208404541;27436.166802943582;
alexnet;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;11.244921684265137;None;266.78709592062864;
alexnet;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;10.562381505966187;None;284.0268549574206;
densenet-121;ImageNet;3;Sync;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.23181709221431188;0.2343122959136963;12803.425395588216;
densenet-121;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;23.290817499160767;None;128.80612714036758;
densenet-121;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;23.279802560806274;None;128.86707231146283;
densenet-161;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.4877045154571533;0.5779732465744019;5190.551669615755;
densenet-161;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;30.1022732257843;None;99.66024750018978;
densenet-161;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;30.081897497177124;None;99.72775155827584;
densenet-169;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.14086824417114258;0.14058852195739746;21338.868623350987;
densenet-169;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;14.03693675994873;None;213.7218433981858;
densenet-169;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;14.04234004020691;None;213.63960646232835;
googlenet-v1;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.04695476369654879;0.04686284065246582;64016.60587005296;
googlenet-v1;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;4.818116903305054;None;622.6498983331244;
googlenet-v1;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;4.89517068862915;None;612.8489057528908;
googlenet-v2;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.058272752761840824;0.06248331069946289;48012.82080633714;
googlenet-v2;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;5.896463632583618;None;508.7795307380719;
googlenet-v2;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;5.8299949169158936;None;514.5802085170634;
googlenet-v3;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.1595436954498291;0.15620970726013184;19204.952448980526;
googlenet-v3;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;15.96174144744873;None;187.94941704055165;
googlenet-v3;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;16.02218794822693;None;187.2403450573672;
googlenet-v4;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.33918473671893684;0.3436605930328369;8729.54322031723;
googlenet-v4;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;34.2136127948761;None;87.68439679218227;
googlenet-v4;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;33.84353184700012;None;88.64323066405727;
inception-resnet;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.39109902189235496;0.39052391052246094;7681.988014476403;
inception-resnet;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;39.52113223075867;None;75.9087564213342;
inception-resnet;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;39.44570970535278;None;76.05389844444603;
resnet-50;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.10101119596130993;0.0937272310256958;32007.773697886525;
resnet-50;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;10.002626657485962;None;299.9212209679746;
resnet-50;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;9.987861156463623;None;300.3646078979138;
resnet-101;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.20152775122194874;0.20307254791259766;14773.045548683413;
resnet-101;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;20.27720546722412;None;147.9493811338634;
resnet-101;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;20.194700241088867;None;148.55382670628066;
resnet-152;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.30541736495738125;0.29680097103118896;10107.783642273693;
resnet-152;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;30.38312029838562;None;98.73903570593447;
resnet-152;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;30.36083149909973;None;98.81152300090848;
squeezenet1.0;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.028544206619262696;0.031241893768310547;96024.90880507944;
squeezenet1.0;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;2.822382926940918;None;1062.931599877411;
squeezenet1.0;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;2.796156883239746;None;1072.9011730286295;
squeezenet1.1;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.015620961075737363;0.015620946884155273;192049.81761015888;
squeezenet1.1;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;1.4261786937713623;None;2103.5232212499627;
squeezenet1.1;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;1.4080986976623535;None;2130.532472603257;
vgg16;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.48548665191188;0.4842498302459717;6195.149306456481;
vgg16;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;48.6937997341156;None;61.60948655436629;
vgg16;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;48.98616981506348;None;61.24177520565174;
vgg19;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.5950178297198548;0.5935977697372437;5053.927344315919;
vgg19;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;59.59534025192261;None;50.33950619827558;
vgg19;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;59.59941482543945;None;50.336064687659956;
